input,output
Optimal number of credit cards for a given length of credit history,"I have found that between the Discover card and a Visa/Master Card a person has everything covered. In my case the Discover card had the best deal (cash back) and the Visa/Master Card took care of those times a vendor didn't take Discover. One big Box store (Costco) did trip us up, so we did end up getting an American Express card. But Costco is dropping that requirement in 2016. One advantage of only having a few cards is that the increase in your total credit line will be split among fewer cards. In your question the highest  max limit on one card is $2500, what will you do if you have to take a flight at the last minute and the Airline ticket is more than that? If you need a higher limit, ask for one of your existing cards to raise it; don't go out and get another card. If you see that one of the companies that you already have a card with has a better card, you can ask them to convert your account to that better card.  Yes higher total limit does help your utilization ratio portion of the score. But there is some opinion that they also look at the utilization ratio per card. So hitting one card to nearly the max can hurt your score. Three caveats about the number of cards:"
Has anyone compared an in-person Tax Advisor to software like Turbo Tax?,"Generally speaking no person or program is really going to be able to help you lower your current tax burden, most tax decisions are done well before you reach the tax time. You either qualify for the deduction/credit or your don't. Where a good accountant will really be able to help you out is in planning that will limit your future tax burden. Particularly if you run a small business or are very wealthy you will probably want to consider using an accountant. I would always avoid the large scale tax prep places like HR Block they provide the same or lower quality service for a higher price than the software. I run a small business and do my own taxes using turbo tax, but my business isn't overly complex Sole prop, no employees, couple 1099's simple expenses (nothing to amortize) etc."
Is it better to ask for a raise before a spin-off / merger or after?,"I would guess that before the spin-off, more money would be available In my experience the reverse is true. The finance folks go into overdrive tightening everything up so that budget forecasts for the transition period are as accurate and predictable as possible. This can be true 6 months out, 12 months out, etc - depending on the size and complexity of the business. So in terms of when to renegotiate, I think approaching the issue after the dust has settled is more realistic. Make sure you know your numbers as per normal and just remember that after the spin-off has occurred it's a business like any other business: if you are in position to negotiate (and reasonably expect) a raise then the fact that they spun off recently - a month or two before - is meaningless to the negotiation."
Are there contracts for fixed pay vs. fixed pay rates?,"Yes. I have personally signed such contracts (fixed budget software development) and lost money every single time. And yes, it is quite possible for you to get paid under minimum wage if you take too long. Scope creep is the primary culprit for these kinds of contracts, so make sure you put together iron-clad explanations of what is and is not covered by the contract (and pad the asking price for good measure)."
What constitutes illegal insider trading?,"It becomes illegal when it is both material and nonpublic information. Material being defined as: Information that you would want and significantly alters the perception of the stock. To your point -- ""materiality"" is really up to the courts Nonpublic This is a little easier to define, but need to be careful if the information is disclosed selectively -- ie to just a small number of investment analysts -- this may still be nonpublic There is also an exception to this -- Mosaic Theory - This is the research you are referring to where the analyst calls up suppliers, etc and obtains information that is nonmaterial (wouldn't move the price of the security) but using experience and combined with public information creates something that is meaningful and could move the price of the security.  This is perfectly legal.  Material examples:"
"If the housing market is recovering, why would a REIT index ETF (e.g. VNQ) not be performing well?","To round out something that @Chris W. Rea pointed out, the business that a REIT is in will be either A) Equity REIT... property management, B) mortgage REIT... lending, or C) hybrid REIT (both).  A very key point about why REITs broadly have been struggling lately, (and this would show up in the REIT indices/ETFs you've linked to,) is linked to the REIT business models.  For an Equity REIT, they borrow money at the going rate (let's say ~4.5% for commercial-scale loans), and use that to take out mortgages on physical properties. If a property rents for $15K per month, and they can take out a $1.8 million loan at $9,000 per month, then their business is around managing maintenance, operating expenses, and taxes on that $6,000 per month margin. For a mortgage REIT, they borrow funds as a highly qualified borrower, (again let's say ~4.5%), and lend those funds back out at a higher rate. The basic concept is that if you borrow $10 million at 4.5% for 30 years, you need to pay it back at $50,668 per month. If you can lend it out reliably at 5%, you collect $53,682 per month... a handy $3,000 per month. The cheaper you can get money at (below 4.5%) and the higher you can lend it at (above 5%), the better your margin is.  The worry is that both REIT business models are very highly dependent on the cost of borrowing money. With the US Fed changing its bond-buying/QE/stimulus activity, the prevailing interest rates are likely to go up. While this has its benefits (inflation), it also will make it more expensive for these types of companies to do business."
Can my broker lock my cash account if I try to use the money from a stock sale during the three-day settlement period?,"Here's how this works in the United States. There's no law regarding your behavior in this matter and you haven't broken any laws. But your broker-dealer has a law that they must follow. It's documented here: The issue is if you buy stock before your sell has settled (before you've received cash) then you're creating money where before none existed (even though it is just for a day or two). The government fears that this excess will cause undue speculation in the security markets. The SEC calls this practice freeriding, because you're spending money you have not yet received. In summary: your broker is not allowed to loan money to an account than is not set-up for loans; it must be a margin account. People with margin account are able to day-trade because they have the ability to use margin (borrow money). Margin Accounts are subject to Pattern Daytrading Rules. The Rules are set forth by FINRA (The Financial Industry Reporting Authority) and are here:"
What does this diagram from Robert Kiyosaki about corporations mean?,"These types of diagrams appear all throughout Kiyosaki's Rich Dad, Poor Dad book.  The arrows in the diagrams represent cash flow. For example, the first two diagrams of this type in the book are:  The idea being presented here is that an asset generates income, and a liability generates expenses.  According to the book, rich people spend their money buying assets, while middle class people buy liabilities. The diagram you posted above does not appear in the edition of the book I have (Warner Books Edition, printed in 2000).  However, the following similar diagram appears in the chapter titled ""The History of Taxes and the Power of Corporations"":  The idea behind this diagram is to demonstrate what the author considers the tax advantages of a personal corporation: using a corporation to pay for certain expenses with pre-tax dollars.  Here is a quote from this chapter: Employees earn and get taxed and they try to live on what is left.  A corporation earns, spends everything it can, and is taxed on anything that is left.  It's one of the biggest legal tax loopholes that the rich use.  They're easy to set up and are not expensive if you own investments that are producing good cash flow.  For example; by owning your own corporation - vacations are board meetings in Hawaii.  Car payments, insurance, repairs are company expenses.  Health club membership is a company expense.  Most restaurant meals are partial expenses.  And on and on - but do it legally with pre-tax dollars. This piece of advice, like so much of the book, may contain a small amount of truth, but is oversimplified and potentially dangerous if taken a face value.  There are many examples, as JoeTaxpayer mentioned, of people who tried to deduct too many expenses and failed to make a business case for them that would satisfy the IRS."
Peer to peer lending in Canada?,"Yes and no, P2P Capital Markets is similar concept but is more geared towards business loans. Community Lend used to offer this service but has stopped."
Looking to buy a property that's 12-14x my income. How can it be done?,"It is your choice to have ""insignificant income"", and that has consequences.  One is that you cannot borrow money to purchase a home independent of your credit score.  In order to purchase a home you must also have the ability to repay in addition to a good history. IMHO your question suggest that you have a unrealistic outlook on life.  If you cannot come up with 10K, how can you afford a home?  What happens when the HVAC system goes out?  While I certainly hope you meet and exceed your goals, you can change your whole world by simply getting a job at a fast food restaurant.  When you are not working you can then do the entrepreneurship thing. Life is often a choice of priorities.  If you choose to ""back-burner"" the entrepreneur dream, for a time, and choose to focus on earning the best possible wage. Then perhaps you could afford to purchase a place of your own."
I'm 13. Can I buy supplies at a pet store without a parent/adult present?,"My 12 year old routinely makes purchases with cash or a gift card (either a store's card or a Visa/Amex card that acts like credit card but is a gift card) and has never had an issue. Clothing, make-up, bath items, etc. I understand in some areas you need to be over 18 to buy certain markers, spraypaint, or other propellant items that can be fatal if inhaled. I see little issue with buying pet supplies, but it wouldn't hurt to have your sibling nearby if you think there will be an issue."
Settling before T+3?,"It is possible but unlikely. Securities firms would prefer never to settle externally; rather, they prefer to wait until the liabilities can be netted.  They are forced to make and take payment in three business days. The reason why is because settlement is costly in the same way as any other business would prefer to build trade credit instead of taking or making payment rapidly. The only circumstance where a financial firm would wish to take full delivery is when a counterparty is no longer trusted to be solvent."
What happens if a purchase is $0.02 in Canada?,"The rounding should always follow the same rule. If the value ends in .01 or .02 then you round to .00. Doesn't matter if it's 10.01 rounding to 10.00 or 0.01 to 0.00. The decision on what a company wants to do if an invoice total is $0.01 or $0.02 would be up to the company. The POS system should follow the rule and round to $0.00 if the method of payment is cash, but the company has the right to not give things away for free.  They can impose a minimum cash invoice amount of $0.05. But you would do this by requiring the customer to add more items to their purchase. You couldn't just round the invoice up to $0.05 and to charge them $0.05 for a $0.01 item It would be similar to companies having a minimum purchase amount when paying by credit card. If their minimum amount is $10.00 and you want to buy something that's $5.00, you either pay cash or add something to your order. They don't just charge you $10.00 for your $5.00 item. I think this would be a extreme edge case where you have an invoice with a total of $0.01 or $0.02, without any discounts, partial payments, etc. If the customer's total was $10.01 and they paid with a $10.00 gift card, the final amount owing of $0.01 would round down to $0.00 and they wouldn't owe any more. If they had paid cash, the total would have rounded to $10.00 anyway.  Similarly, if the customer returned an item and bought a new item, or used coupons, and the total owing was $0.01 or $0.02, then you would round down to $0.00 and they wouldn't pay anything. As BobbyScon said, you can implement some options to allow the company to decide how they want to handle this. You could have an option that doesn't allow a sale to be processed if the total amount is less than $0.03 and the sale doesn't include any discounts, returned items, coupons, etc. The option could be to completely block the sale, require a supervisor override, or just display a warning to the cashier. Best bet is to talk to as many of your current or potential clients as you can to see how they would like this edge case handled. For many, it's probably a mute case since they wouldn't have items that have a unit price less than $0.03. Maybe a place like a hardware store that sells individual nuts, bolts, and washers."
What is quotational loss in stock market?,"https://www.fool.com/investing/general/2013/07/30/2-types-of-risk-2-types-of-bubbles.aspx (mirror): The Wall Street Journal reviews: What Mr. Bernstein calls ""shallow risk"" is a temporary drop in an asset's market price; decades ago, the great investment analyst Benjamin Graham referred to such an interim decline as ""quotational loss."" ""Deep risk,"" on the other hand, is an irretrievable real loss of capital, meaning that after inflation you won't recover for decades -- if ever. So quotational loss = loss not explained by change of actual value of a firm."
Is it financially advantageous and safe to rent out my personal car?,"The moment that you start to rent your car to strangers you are talking about using your car as a business. Will it be financially advantageous? If you can convince somebody to rent your vehicle for more than your required monthly payments then it might be. Of course you have to determine what would be the true cost of ownership for you. It could include your auto loan, and insurance, but you would be saving on the garage costs. Of course if you don't have it rented 100% of the time you will still have some costs. Your insurance company will need to know about your plan. They charge based on the risk. If you aren't honest about the situation they won't cover you if something goes wrong. The local government may want to know. They charge different car registration fees for businesses. If there are business taxes they will want that.  Taxes. you are running a business so everybody from the federal governemnt to the local government may want a cut. Plus you will have to depreciate the value of the item. Turning the item from a personal use item to a business item can have tax issues. If you don't own it 100% the lender may also have concerns about making sure their collateral survives. Is it safe? and from the comments to the question :  Should I do a contract or something that would protect me? Nope. it isn't safe unless you do have a contract. Of course that contract will have to be drawn up by a lawyer to make sure it protects you from theft, negligence, breach of contract.... You will have to be able to not just charge rent, but be able to repossess the car if they don't return it on time. You will have to be able to evaluate if the renter is trustworthy, or you may find your car is in far worse shape if you can even get it back."
Is a website/domain name an asset or a liability?,"This depends on your definitions of assets and liabilities. The word ""asset"" has a fairly straight forward definition.  Generally speaking, an asset in finance is something that you own/control that has economic value.  The asset has value because it is generating income for you or because you expect that it will be worth something to someone in the future. ""Liability"" is tougher to define, and depends on context.  In accounting, a liability is a debt or obligation that is owed.  It is essentially the opposite of an asset; where an asset represents something of value that you own, increasing your balance sheet, a liability is a value that you owe, decreasing your balance sheet. In that sense, a website or domain name that you own is an asset, not a liability, because it is something you own that has some value.  It is not a debt. Many people use the word ""liability"" informally to refer to a bad asset: something that is losing value or is causing more in expenses than it is generating in income.  (See definition #5 on Wiktionary.)  With this definition, you might consider a website or a domain name a liability if it is losing money. Alternatively, depending on your business, you might not consider it an asset or a liability, but an expense instead.  An expense is a cost of doing business.  For example, if your business is selling something, you might need a website to make that happen.  The website isn't purchased as an investment, and it might not have any value apart from your business.  It is simply a necessary expense for your business."
Is there a financial benefit for buyers from using community currencies?,"Short answer: NO, there is no financial benefits for you to expect in a local currency even if some might give tiny discounts on local sales. Local currencies are attractive for small business or communities, they are perfectly legal and starting to be popular in a lot of places. Local currencies encourage individuals and businesses to exchange goods and services locally.  Using them is like investing in your community. It could give you the feeling of doing something good for your community. Check this article for a discussion on the subject.  They should not be considered investments. Local currencies do not offer the same financial security and some could be like monopoly money, but that would be another subject or question to debate.  So, to summarize: no money to be made for your personal use, but some real social and financial benefits for your community. Would'nt that be a kind of personal benefit for you ?"
What is the difference between the asset management division in an investment bank and an investment company?,"I would say that there is no real difference.  Asset management companies that is part of large banking groups usually seat in separate entities and operate independently from the rest of the bank. Assuming proper procedures (and regulators usually check that) are in place they will not share information with the rest of the bank and their assets are clearly segregated from the rest of the bank. They have the same fiduciary duties as an independent AM and are probably using the broker/dealer services of other banks as well as their parent. Reputation is a key issue for banks and conflict of interests are usually managed properly. Independence also comes and goes. The corporate history of Neuberger Berman is a good example. Neuberger Berman was once an independent asset manager. In 2003, it merged with Lehman Brothers, thus loosing its independence. When Lehman went bankrupt in 2008, NB did not join its parent company in bankruptcy and did not lose the assets of its clients. The company continued to operate until it was acquired by the management. Finally it is mostly a question of marketing and positioning."
What happens when PayPal overdrafts a checking account (with an ample backup funding source available)?,"I made this mistake and tried calling Paypal...the first time I have ever been unhappy with their service.  The girl gave me some number but didn't make it clear whether it was an order reference number or a reference phone number for the company I ordered from.  I called within 10 minutes of placing my order and they were unable to cancel or change the payment method.  I did find however, that even though you can't pay paypal with your credit card, some banks will let you.  I went into my account and ""paid"" my account the amount needed using my credit card from the same bank that I had intended to use in the first place...hopefully it went through quickly enough to not get a service fee from Paypal"
Moonlighting as a software developer: employee or independent contractor w/ LLC?,"I've been in a similar situation before. While contracting, sometimes the recruiting agency would allow me to choose between being a W2 employee or invoicing them via Corp-2-Corp. I already had a company set up (S-Corp) but the considerations are similar. Typically the C2C rate was higher than the W2 rate, to account for the extra 7.65% FICA taxes and insurance. But there were a few times where the rate offered was identical, and I still choose C2C because it enabled me to deduct many of my business expenses that I wouldn't have otherwise been able to deduct. In my case the deductions turned out to be greater than the FICA savings. Your case is slightly different than mine though in that I already had the company set up so my company related costs were ""sunk"" as far as my decision was concerned. For you though, the yearly costs associated with running the business must be factored in. For example, suppose the following: Due to these expenses you need to make up $3413 in tax deductions due to the LLC. If your effective tax rate on the extra income is 30%, then your break even point is approximately $8K in deductions (.3*(x+3413)=3413 => x = $7963) So with those made up numbers, if you have at least $8K in legitimate additional business expenses then it would make sense to form an LLC. Otherwise you'd be better off as a W2. Other considerations:"
splitting a joint mortgage - one owner in home,"Get a lawyer to put this in contract form, with everything spelled out explicitly. What is fair is what the two of you agree upon. My own suggestion: Divide the property into things which are yours, his, and shared, then have each of you be responsible for all your costs plus half the shared costs, but get all the benefits of your half. That would mean that if he rents out his half, all the rental income is his; if you decide to live in your half, all the savings of not paying rent are yours.  Each of you pays your half of mortgage, insurance, and other shared costs. Repairs to shared infrastructure should be done by someone both of you trust. If you agree the work is needed and he does it rather than your hiring someone, you owe him the appropriate percentage of the costs; the two of you will need to agree on whether you owe him for that percentage of his time as well. Make sure you agree on some mechanism for one person offering to buy the other out, or to sell their half to the other party... or potentially to someone else entirely. (Personally, I would try to do that at soonest opportunity, to avoid some of the ways this can go wrong -- see past comments about the hazards of guaranteeing a loan; this works or doesn't work similarly.) Does that address your question?"
How are investment funding valued when invested in a company before it goes public?,"This is a question of how does someone value a business.   Typically, it is some function of how much the company owns, how much the company owes, how risky is the company's business, and how much the company makes in profit. For example if a company (or investment) make $100/year, every year no matter what, how much would you pay for that?   If you pay $1,000 you'll make 10% each year on your investment.  Is that a good enough return?   If you think the risk of the company requires a 20% payoff, you shouldn't pay more than $500 for the company."
Is there a way to open a U.S. bank account for my LLC remotely?,"Yes, it is possible.  Although there may be red tape for a business account, Alliant Credit Union offers completely online signup and their representatives are reachable by email. You'll probably need to send in the LLC articles this way http://www.alliantcu.com/checking-accounts.html (as pointed out by @littleadv this site defaults to ""personal checking"" accounts, there is a business checking tab which doesn't generate a direct link, some might miss that) And even if there are a ton of regulations that some pencil pushers at larger banks anecdotally cite (without citing), there will be enough banks that don't care. Good Luck"
"Is the contribution towards Employment Insurance (EI) wasted if I never get fired, or are my premiums refunded?","Actually, most insurance policies DON'T have a cash value if you don't make a claim.  The reason that some life insurance policies do this is that they are really tax sheltered investments posing as insurance.  With that in mind, the root of your question is really whether insurance premiums are wasted if you never make a claim. It really makes no difference if you are talking about EI, Auto, or Homeowner's insurance. My answer to that is no. What you are paying for when you buy insurance is financial risk avoidance. Look at it this way, you don't buy EI as an investment where you hope to get a return on your investment. You are buying the right to be protected against catastrophic financial difficulty associated with losing your job. Whether you claim it or not you did receive that protection. This is what drives me so crazy when I hear people talk about how an insurance company is ripping you off because you paid more in premiums than they paid out in benefits. Of course you did! If most people didn't pay in more than the company paid out there would be no financial interest for someone to form an insurance company."
Warren Buffett and Charles Munger advice for small investors?,"Warren Buffett: 'Investing Advice For You--And My Wife' (And Other Quotes Of The Week): What I advise here is essentially identical to certain instructions   I’ve laid out in my will. One bequest provides that cash will be   delivered to a trustee for my wife’s benefit…My advice to the trustee   could not be more simple: Put 10% of the cash in short-term government   bonds and 90% in a very low-cost S&P 500 index fund. (I suggest   Vanguard’s.) I believe the trust’s long-term results from this policy   will be superior to those attained by most investors… Similarly from Will Warren Buffett's investment advice work for you?: Specifically, Buffett wants the trustee of his estate to put 10   percent of his wife's cash inheritance in short-term government bonds   and 90 percent in a low-cost S&P index fund - and he tips his hat   specifically to Bogle's Vanguard in doing so. Says Buffett: ""I believe   the trust's long-term results from this policy will be superior to   those attained by most investors - whether pension funds, institutions   or individuals."""
"In Canada, can a limited corporation be used as an income tax shelter?","This scheme doesn't work, because the combination of corporation tax, even the lower CCPC tax, plus the personal income tax doesn't give you a tax advantage, not on any realistic income I've ever worked it out on anyway.  Prior to the 2014 tax year on lower incomes you could scrape a bit of an advantage but the 2013 budget changed the calculation for the tax credit on non-eligible dividends so there shouldn't be an advantage anymore. Moreover if you were to do it this way, by paying corporation tax instead of CPP you aren't eligible for CPP. If you sit with a calculator for long enough you may figure out a way of saving $200 or something small but it's a lot of paperwork for little if any benefit and you wouldn't get CPP. I understand the money multiplier effect described above, but the tax system is designed in a way that it makes more sense to take it as salary and put it in a tax deferred saving account, i.e. an RRSP - so there's no limit on the multiplier effect. Like I said, sit with a calculator - if you're earning a really large amount and are still under the small business limit it may make more sense to use a CCPC, but that is the case regardless of using it as a tax shelter because if you're earning a lot you're probably running a business of some size. The main benefit I think is that if you use a CCPC you can carry forward your losses, but you have to be aware of the definition of an ""allowable business investment loss""."
Can I cash a cashier's check at any bank?,"At least in the US, a Cashier's Check is just like a regular personal check - only it's guaranteed by the bank itself, so the person accepting it can be pretty certain the check won't be returned for insufficient funds...if the check is genuine! Most banks therefore have a policy for cashier's checks that is very similar to their policies on regular checks and money orders: if you are a member with an account in good standing, they'll make all or part of the money available to you according to their fund availability policy, which is usually anywhere from ""immediately"" to 7-10 days. With amounts over $5,000, banks will tend to put a hold on the funds to ensure it clears and they get their money. If you are not a member then many banks will refuse to cash the check at all, unless the cashier's check is drawn on on that brand of bank. So if the cashier's check is issued by, say, Chase Bank, Chase banks will usually be willing to cash out the entire check to you immediately (with properly provided ID). Because the bank is guaranteed by them they are able to check their system and ensure the check is real and can clear the check instantly. This policy isn't just up to individual banks entirely, as it is defined by United States federal banking policies and federal regulations on availability of funds. If you really must cash the check without a holding period and won't/can't have a bank account of your own to perform this, then you will generally need to go into a branch of the bank that is guaranteeing the check to be able to cash it out fully right away. Note that since the check might be issued by a bank with no branch near you, you should have a back-up plan. Generally banks will allow you to setup a special/limited savings-only account to deposit your check, even if you don't have a checking account, so if no other option works you might try that as well. The funds availability policies are the same, but at least you'll be able to cash it generally in 10 days time (and then close the account and withdraw your money)."
Is Bitcoin a commodity or a currency [duplicate],"Its neither. Its a scam. there's no value underlying it, and it has proven to be the most speculative and untrustworthy investment there is. The scam works like a pyramid scam, so the more people come later on the more people who came in earlier on gain, so that is why you see so much hype around it encouraged and fueled by those early adopters who'll cash out at your expense. Imagine people who jumped on the bandwagon when each coin was worth a mere fraction of a dollar - they want you to ""invest"" at the current price of hundreds of dollars per unit so that they could cash out. You'd be better off with tulips, really. (And don't be discouraged by the downvotes on this answer, of course those scamers will try to shut me down. That will just prove the point.)"
Is it possible to borrow money to invest in a foreign country?,"Most likely, this will not work they way you think. First things first, to get a loan, the bank needs to accept your collateral. Note that this is not directly related to the question what you plan to do with the loan. Example: you have a portfolio of stocks and bonds worth USD 2 million. The bank decides to give you a loan of USD 1 million against that collateral. The bank doesn't care if you will use the loan to invest in foreign RE or use it up in a casino, it has your collateral as safety. So, from the way you describe it, I take it you don't have the necessary local collateral but you wish to use your foreign investments as such. In this case it really doesn't matter where you live or where you incorporate a company, the bank will only give you the loan if it accepts the foreign collateral. From professional experience with this exact question I can tell you, there are very few banks that will lend against foreign property. And there are even less banks, if any, that will lend against foreign projects. To sum it up: Just forget banks. You might find a private lender to help you out but it will cost you dearly. The best option you have is to find a strategic partner who can cough up the money you need but since he is taking the bigger risk, he will also take the bigger profit share."
"What are the consequences of being classified as a day trader, in Australia?","In Australia the ATO can determine if you are considered a shareholder or a share trader. The ATO defines a shareholder as: A shareholder is a person who holds shares for the purpose of earning income from dividends and similar receipts. Whilst they define a share trader as: A share trader is a person who carries out business activities for the purpose of earning income from buying and selling shares. To find out the differences between them you can refer to the following link describing The difference between a share trader and a shareholder. The ATO also describes: To be classed as a share trader, you may be asked to provide evidence that demonstrates you are carrying on a business of share   trading, for example: the purchase of shares on a regular basis through a regular or routine method a trading plan  use of share trading techniques in managing your share acquisitions, such as decisions based on thorough analysis of relevant market   information a contingency plan in the event of a major shift in the market. Losses incurred in the business of share trading are treated the same   as any other losses from business. If your activities change from investor to trader, your investment changes from a CGT (capital gains tax) asset to trading stock. This can trigger CGT event for any investments you currently hold as they change from CGT assets to trading stock. Once you have changed over to a trader you will not be entitled to the 50% CGT discount for stocks held over 12 months. You will, however, be able to count any paper losses at the end of Financial Year to reduce your other income."
"As a Sole Proprietor, will “employer” Solo 401k contributions count towards gross income?","This seems to depend on what kind of corporation you have set up. If you're set up as a sole proprietor, then the Solo 401k contributions, whether employee or employer, will be deducted from your gross income.  Thus they don't reduce it. If you're set up as an S-Corp, then the employer contributions, similar to large employer contributions, will be deducted from wages, and won't show up in Box 1 on your W-2, so they would reduce your gross income.  (Note, employee contributions also would go away from Box 1, but would still be in Box 3 and 5 for FICA/payroll tax purposes). This is nicely discussed in detail here. The IRS page that discusses this in more (harder to understand) detail is here. Separately, I think a discussion of ""Gross Income"" is merited, as it has a special definition for sole proprietorships. The IRS defines it in publication 501 as: Gross income.    Gross income is all income you receive in the form of money, goods, property, and services that is not exempt from tax. If you are married and live with your spouse in a community property state, half of any income defined by state law as community income may be considered yours. For a list of community property states, see Community property states under Married Filing Separately, later. Self-employed persons.    If you are self-employed in a business that provides services (where products are not a factor), your gross income from that business is the gross receipts. If you are self-employed in a business involving manufacturing, merchandising, or mining, your gross income from that business is the total sales minus the cost of goods sold. In either case, you must add any income from investments and from incidental or outside operations or sources. So I think that regardless of 401(k) contributions, your gross income is your gross receipts (if you're a contractor, it's probably the total listed on your 1099(s))."
What are the opportunities/implications of having a designated clearing bank in my home country?,"I strongly urge you against this despite the fact that you may enjoy lucrative interest rates in the short run. Considering the reckless usage of deposits and other public monies to build buildings just to claim that gdp is high (they count the cost of real estate as investment not their final sales as the rest of the world does), all depositors in Chinese banks stand to lose or at least have their funds frozen (since all credit funding the real estate building comes from the banks and taxes & land seizures to a lesser degree). China's reckless building: http://www.youtube.com/watch?v=wm7rOKT151Y East Asian Crisis (Chapters 11 & 12): http://www.pbs.org/wgbh/commandingheights/lo/story/ch_menu_03.html This can be prolonged if they open their financial system to outside funding, but that will also amplify the effect."
Are large companies more profitable than small ones?,"This isn't as rigorous as it should be, but may offer some useful insight into how big and small companies differ operationally. Putting Apple aside, larger companies tend to sell larger volumes of products (even if they're MRI devices, or turbines) relative to what smaller companies can sell (obviously, in absolute terms as well).  They are also able to negotiate volume discounts as well as payment terms.  This allows them to finance sales through their supply chain.  However, their large direct competitors are able to do the same thing as well.  Competitive forces then drive prices down. Smaller businesses, without these advantages of scale, tend to have to charge higher margins since they have to pay directly (and, if their clients are large businesses, finance the sale). Small businesses still have higher proportional costs of operation.  Sadly, my reference here is a study I performed for the South African Revenue Service about ten years ago, and not available online. However, the time taken by a small business to manage admin, tax, HR is a greater proportion of revenue than for larger companies. If the small business is a start-up with big investment from venture finance, then they could subsidise their selling price, run at a loss and try and gain scale.  Funnily enough, there is a fantastic article on this by Joel Spolsky (Ben and Jerry's vs. Amazon) For the average highly-competitive smaller company, the best choice is to chase design/quality/premium markets in order to justify the higher margins they have to charge.   And that's what makes Apple interesting as a case study.  They were a small company in the presence of giants (Intel, Microsoft, IBM).  They were ""forced"" to concentrate on design and premium markets in order to justify their need for higher margins.  It almost didn't work but then they broke through.  Now they're in the unique position of having gained scale but are still small enough relative to other electronics manufacturers to continue charging that premium (by volume their sales are still relatively small but their margins make them a giant). This type of variation from market to market makes developing some sort of generalised solution very unlikely but the general requirement holds: that smaller companies must charge higher margins in order to create equivalent profits to larger companies which must gain scale through volume."
"When is it necessary to apply taxes for web freelancing services in Quebec, Canada?","AFAIK, there are two kinds of taxes your web freelancing income may be subject to in Quebec: On the income taxes:  The net income you realize from your web freelancing activities would be considered taxable income.  Assuming you are not operating as an incorporated business, you would need to declare the freelancing income on both your federal and provincial tax returns.  You should be able to deduct certain costs related to your business – for instance, if you paid for software, hosting, domain name registration, etc.  That is, only the profit from your business would be subject to income tax.  With income and expenses arising from self-employment, you may want to use a professional to file your taxes. On the sales taxes: You may also need to charge federal GST and provincial QST (Quebec Sales Tax) on your services:  You must enroll and charge GST and QST once you exceed the ""small supplier"" revenue threshold of $30,000 measured over four consecutive quarters.  (You can still choose to enroll for GST/QST before you reach that amount, but over that amount enrollment becomes mandatory.  Some businesses enroll before the threshold is reached so they can claim input tax credits for tax paid on expenses, but then there's more paperwork – one reason to perhaps avoid enrolling until necessary.) In Quebec, the Ministère du Revenu du Québec administers both GST (on behalf of the federal government) as well as provincial QST.  Be sure to also check out their informative booklet, Should I Register with Revenu Quebec? (PDF).  See also General Information Concerning the QST and the GST/HST (PDF)."
What are the basics of apartment rental finances?,"Well for starters you want to rent it for more than the apartment costs you.  Aside from mortgage you have insurance, and maintenance costs.  If you are going to have a long term rental property you need to make a profit, or at a bare minimum break even.  Personally I would not like the break even option because there are unexpected costs that turn break even into a severe loss. Basically the way I would calculate the minimum rent for an apartment I owned would be: (Payment + (taxes/12) + (other costs you provide) + (Expected annual maintenance costs)) * 100% + % of profit I want to make. This is a business arrangement.  Unless you are recouping some of your losses in another manner then it is bad business to maintain a business relationship that is costing you money.  The only thing that may be worth considering is what comparable rentals go for in your area.  You may be forced to take a loss if the rental market in your area is depressed.  But I suspect that right now your condo is renting at a steal of a rate.  I would also suspect that the number you get from the above formula falls pretty close to what the going rate in your area is."
Why do bank statements end on *SUCH* wildly inconsistent days of the month?,"Looking at your dates, I think I see a pattern.  It appears that your statement closing date is always 17 business days before the last business day of the month.  For example, if you start at May 31 and start counting backwards, skipping Saturdays, Sundays, and May 30 (Memorial Day), you'll see that May 5 is 17 business days before May 31.  I cannot explain why Bank of America would do this.  If you ask them, let us know what they say. If it bothers you, find another bank.  I do most of my banking (checking, savings, etc.) with a local credit union. Their statements end on the last day of the month, every month without fail. (Very nice, in my opinion.) I have two credit cards with nationally known banks, and although those statements end in the middle of the month, they are consistently on the same date every month. (One of them is on the 13th; the other date I can't recall right now.) You are right, a computer does the work, and your statement date should be able to fall on a weekend without trouble. Even when these were assembled by hand, the statement date could still be on a weekend, and they just wouldn't write it up until the following Monday.  You should be able to find another bank or credit union that does this."
"If accepting more than $10K in cash for a used boat, should I worry about counterfeiting?","I'd be a bit concerned about someone who wanted to transact that large of a transaction in cash.  Also consider what you are going to do with the funds, if you deposit it, you will need to tell the bank where it comes from. Why does the bank want to know, because most legal businesses don't transact business with large sums of currency.. What does that tell you about the likelihood the person you are about to do business with is a criminal or involved in criminal affairs?  The lower bill of sale price might be more than just to dodge taxes, it could be part of money laundering..  If they can turn right around and 'sell' the boat for $10K, or trade it in on a bigger boat for the same amount, and have a bill than says $4K, then they have just come up with a legal explanation for how they made 6 grand.  and you could potentially be considered an accomplice if someone is checking up on their finances. Really, is it worth the risk."
